,Word,Valence,Arousal,Dominance
1,aardvark,6.26,2.41,4.27
2,abalone,5.3,2.65,4.95
3,abandon,2.84,3.73,3.32
4,abandonment,2.63,4.95,2.64
5,abbey,5.85,2.2,5
6,abdomen,5.43,3.68,5.15
7,abdominal,4.48,3.5,5.32
8,abduct,2.42,5.9,2.75
9,abduction,2.05,5.33,3.02
10,abide,5.52,3.26,5.33
11,abiding,5.57,3.59,6.6
12,ability,7,4.85,6.55
13,abject,4,3.94,4.35
14,ablaze,5.15,6.75,4.58
15,able,6.64,3.38,6.17
16,abnormal,3.53,4.48,4.7
17,abnormality,3.05,5,3.96
18,abode,5.28,2.9,5.05
19,abolish,3.84,4.18,4.65
20,abominable,4.05,5.45,4.62
21,abomination,2.5,5.9,3.8
22,abort,3.1,5.8,3.38
23,abortion,2.58,5.43,4.73
24,abracadabra,5.11,5.27,4.96
25,abrasive,4.26,6.1,4.94
26,abreast,4.62,4.61,5.19
27,abrupt,3.28,5.23,3.75
28,abscess,2.79,4,3.95
29,absence,3.86,4.3,4.24
30,absent,4.1,3.72,4.21
31,absinthe,3.53,3.7,3.95
32,absolute,5.43,3.48,5.58
33,absolution,6.58,3.38,5.75
34,absolve,4.58,3.53,4.82
35,absorb,5.5,4.27,5.62
36,abstain,4.4,3.1,6.08
37,abstinence,3.43,3.15,5.64
38,abstract,5.25,3.96,5.53
39,absurd,4.45,4.02,5.06
40,absurdity,4.06,4.7,5.37
41,abundance,6.67,4.72,5.66
42,abundant,7.55,4.21,5.81
43,abuse,1.53,6.21,2.9
44,abusive,2.05,5.27,3.58
45,abysmal,3.45,3.91,3.76
46,abyss,3.9,4.85,4
47,academic,6.61,3.32,6.21
48,academy,5.32,3.77,5.38
49,accelerant,4.59,4.81,6.04
50,accelerate,6.1,6.04,6.15
51,accelerated,6.21,4.75,6.29
52,acceleration,6.19,6.73,5.76
53,accelerator,5.63,5,6.65
54,accent,6.48,4.95,5.36
55,accept,6.39,2.8,5.94
56,acceptable,6.59,3.65,6.58
57,acceptance,6.84,4.3,6.49
58,access,6.68,5.3,6.89
59,accessible,6.68,3.2,6.58
60,accessory,5.35,4.22,5.83
61,accident,2.55,4.93,3
62,accidental,3.46,4,3.41
63,acclaim,6.1,3.95,5.77
64,accommodate,6.35,3,6.27
65,accommodation,6.76,4.72,6
66,accompany,5.47,3.85,5.63
67,accomplice,4.6,4.5,5.2
68,accomplish,7.45,5.16,7.27
69,accomplishment,8.05,4.96,6.5
70,accord,6.38,2.85,5.64
71,accordion,5.26,2.94,5.21
72,account,5.39,3.76,5.06
73,accountability,4.89,3.7,6.55
74,accountable,5.7,4.2,5.57
75,accountant,5.19,3.81,5.72
76,accounting,4.42,3.68,4.48
77,accumulate,6.33,2.73,6.15
78,accuracy,6.32,3.33,6.74
79,accurate,7.42,4.35,6.47
80,accursed,3.21,5.33,4.13
81,accusation,3.38,5.48,3.62
82,accuse,2.68,5.32,4
83,ace,6.37,4.64,6.61
84,acetylene,4.11,3.67,4.7
85,ache,3.27,4.3,4
86,achieve,7.75,4.7,6.61
87,achievement,7.28,5.57,7.17
88,achy,3.15,4.48,4.62
89,acid,3.26,4.77,4.26
90,acknowledge,6.43,3.26,6.11
91,acknowledgement,6.53,3.3,6.71
92,acne,2.18,4.47,3.44
93,acorn,5.85,4.42,4.77
94,acoustic,7.1,4,5.79
95,acoustics,6.33,3.19,5.86
96,acquaintance,5.58,3.24,5.29
97,acquire,5.5,4.86,7
98,acquisition,5,4.36,5.93
99,acquit,5.6,4.56,5.45
100,acquittal,6.19,4.95,5.03
101,acre,5.53,2.73,4.94
102,acreage,5.25,3.74,5.52
103,acrobat,6,4.9,5.42
104,acrylic,5.52,3.73,5.42
105,act,5.64,4.19,6.11
106,action,6,6.19,6.17
107,action figure,6.18,4.65,6.71
108,activate,5.7,3.78,6.28
109,activation,6.14,3.52,6.88
110,active,6.47,5.62,6.32
111,activist,6.24,5.26,5.86
112,activity,6.21,4.86,6.45
113,actor,6.15,4.35,5.64
114,actress,5.42,5.43,4.65
115,actual,6.22,2.75,5.54
116,actuality,5.4,5.55,5.24
117,acupuncture,4.81,4.9,4.77
118,acute,5.1,5.09,5.11
119,ad,4.11,3.33,5.18
120,adage,5.55,3.38,5.13
121,adamant,5.45,5.74,6.38
122,adapt,5.84,3.9,5.75
123,adaptation,5.82,3.55,6.04
124,add,6.23,4,6.79
125,adder,4.45,3.24,4.41
126,addict,2.86,5.33,2.74
127,addicted,2.89,4.77,2.84
128,addiction,3.52,4.48,3.84
129,addictive,3.52,4.82,4.4
130,additional,6.15,3.61,4.95
131,address,6.11,3.05,4.89
132,adept,6.14,4.17,6.5
133,adequate,4.7,3.64,6.89
134,adhere,5.17,3.52,3.9
135,adhesive,5.84,3.2,4.88
136,Adidas,5.77,4.18,6.3
137,adjacent,5.15,2.78,4.27
138,adjective,5.95,3.64,6.11
139,adjoining,5.06,3.52,4.65
140,adjourn,5.5,3.15,5.75
141,adjust,5.76,3,6
142,adjuster,4.25,3.5,5.84
143,adjustment,5.53,4.59,4.53
144,admin,4.37,3.64,5.83
145,administer,4.4,3.86,6.33
146,administration,4.45,3.23,4.77
147,administrative,4.79,3.21,5.9
148,administrator,5.32,4.74,5.48
149,admirable,7,4.57,5.81
150,admiral,4.8,4.05,5.68
151,admiralty,6.16,4.27,6.08
152,admiration,7.58,5.52,6.11
153,admire,7.35,5,7.33
154,admired,7.25,5.95,6.94
155,admirer,7.05,6,6.27
156,admissible,5.16,2.9,6.21
157,admission,5.91,3.69,5.54
158,admit,5.56,3.35,4.56
159,admittance,6.29,3.6,5.96
160,ado,4.82,3.33,4.48
161,adobe,5.25,3.89,5.55
162,adolescence,6,5.1,4.44
163,adolescent,5.38,4.2,4
164,adopt,6.9,4.71,5.45
165,adoption,6.68,4.82,5.62
166,adoptive,5.67,4.4,5.59
167,adorable,7.4,4.66,6.83
168,adoration,6.47,4.36,6.54
169,adore,7.37,5.96,6.26
170,adoring,7.38,4.86,6.29
171,adrenalin,6.33,5.05,4.85
172,adrenaline,6.61,5.95,5.72
173,adrift,4.36,3.19,4.09
174,adult,5.9,4.36,6.46
175,adulterer,2.77,5.68,3.2
176,adultery,2.81,6.42,3.33
177,adulthood,5.05,4.28,6.11
178,advance,6.11,4.62,6.12
179,advanced,6.14,3.83,6.96
180,advancement,7.47,5.81,6.38
181,advantage,6.71,3.95,7.19
182,advantageous,6.79,5.7,6.22
183,adventure,7.4,6.36,6.36
184,adventurer,7,5.27,5.83
185,adventurous,7.37,6.67,5.71
186,adversary,4.55,4.41,5
187,adverse,3.68,3.89,3.35
188,adversity,4.26,3.82,4.63
189,advertise,5.16,4.29,5.74
190,advertisement,4.3,4.14,5.84
191,advertising,4.68,3.25,5
192,advice,5.78,3.05,5.83
193,advisable,5.62,4.36,5.86
194,advise,5.44,3.38,6.41
195,advisement,4.55,4.04,5.92
196,adviser,5.68,3.36,6.18
197,advisor,4.74,3.19,5.7
198,advisory,4.95,4.05,4.19
199,advocate,5.25,4.59,7.26
200,aerial,6.04,3.67,5.17
201,aerobics,6,5.1,5.7
202,aerodynamic,6.16,4.33,5.1
203,aerospace,5.79,4.52,5.17
204,aesthetic,5.43,2.88,5.5
205,affair,3.1,5.4,5.89
